article_idx,pmid,title,bertopic_topic,display_label
11924,32085694,Peel Test to Assess the Adhesion Strength of the Dermal-Epidermal Junction in Tissue-Engineered Skin.,2,2_cells_cancer_cell_expression
11925,32081602,Urinary TERT promoter mutations are detectable up to 10 years prior to clinical diagnosis of bladder cancer: Evidence from the Golestan Cohort Study.,3,3_abstract_title_cells_cell
11926,32072579,Peptide Phage Display: Molecular Principles and Biomedical Applications.,8,8_abstract_title_biology_molecular
11927,32068959,The Aging Metabolome-Biomarkers to Hub Metabolites.,3,3_abstract_title_cells_cell
11928,32048163,Clinical and biochemical indexes from 2019-nCoV infected patients linked to viral loads and lung injury.,9,9_sarscov2_virus_viral_covid19
11929,32037734,Nonrapid eye movement sleep and risk for autism spectrum disorder in early development: A topographical electroencephalogram pilot study.,1,1_abstract_title_cells_cell
11930,32024998,Pan-cancer analysis of whole genomes identifies driver rearrangements promoted by LINE-1 retrotransposition.,0,0_cells_cell_abstract_title
11931,32021695,Limited presence of Waddlia chondrophila in drinking water systems in the Netherlands.,7,7_title_abstract_cell_cells
11932,32014537,Toxicity of mycotoxins in vivo on vertebrate organisms: A review.,7,7_title_abstract_cell_cells
11933,32005974,SLC34A2 simultaneously promotes papillary thyroid carcinoma growth and invasion through distinct mechanisms.,3,3_abstract_title_cells_cell
11934,32000550,Molecular markers related to immunosurveillance as predictive and monitoring tools in non-small cell lung cancer: recent accomplishments and future promises.,2,2_cells_cancer_cell_expression
11935,31987730,Subcellular Chemical Imaging: New Avenues in Cell Biology.,8,8_abstract_title_biology_molecular
11936,31983379,"Everolimus for cardiac rhabdomyomas in children with tuberous sclerosis. The ORACLE study protocol (everOlimus for caRdiac rhAbdomyomas in tuberous sCLErosis): a randomised, multicentre, placebo-controlled, double-blind phase II trial.",3,3_abstract_title_cells_cell
11937,31982489,SERCA and P-glycoprotein inhibition and ATP depletion are necessary for celastrol-induced autophagic cell death and collateral sensitivity in multidrug-resistant tumor cells.,0,0_cells_cell_abstract_title
11938,31981358,Antibiotic resistance: turning evolutionary principles into clinical reality.,10,10_resistance_isolates_strains_study
11939,31978575,An emerging public health threat: Mayaro virus increases its distribution in Peru.,5,5_abstract_title_cells_cancer
11940,31975505,Environmental pollutants damage airway epithelial cell cilia: Implications for the prevention of obstructive lung diseases.,2,2_cells_cancer_cell_expression
11941,31974491,Nerves in cancer.,2,2_cells_cancer_cell_expression
11942,31959897,GRK2 enforces androgen receptor dependence in the prostate and prostate tumors.,1,1_abstract_title_cells_cell
11943,31959328,RIPK1 Kinase-Dependent Death: A Symphony of Phosphorylation Events.,6,6_proteins_cell_protein_abstract
11944,31956442,"Circulatory miRNA-484, 524, 615 and 628 expression profiling in HCV mediated HCC among Egyptian patients; implications for diagnosis and staging of hepatic cirrhosis and fibrosis.",4,4_abstract_title_cells_cell
11945,31953184,"Quantifying HIV transmission flow between high-prevalence hotspots and surrounding communities: a population-based study in Rakai, Uganda.",9,9_sarscov2_virus_viral_covid19
11946,31953124,Targeting NAD+ in translational research to relieve diseases and conditions of metabolic stress and ageing.,0,0_cells_cell_abstract_title
11947,31935181,The application of the CRISPR-Cas9 system in Pseudomonas syringae pv. actinidiae.,8,8_abstract_title_biology_molecular
11948,31931109,Cross-species Analyses of Intra-species Behavioral Differences in Mammals and Fish.,8,8_abstract_title_biology_molecular
11949,31930569,Reciprocal upregulation of hypoxia-inducible factor-1α and persistently enhanced placental adenosine signaling contribute to the pathogenesis of preeclampsia.,0,0_cells_cell_abstract_title
11950,31923762,Oxidative stress-driven DR5 upregulation restores TRAIL/Apo2L sensitivity induced by iron oxide nanoparticles in colorectal cancer.,0,0_cells_cell_abstract_title
11951,31919619,Drug repurposing towards targeting cancer stem cells in pediatric brain tumors.,1,1_abstract_title_cells_cell
11952,31912584,Solution structure for an Encephalitozoon cuniculi adrenodoxin-like protein in the oxidized state.,6,6_proteins_cell_protein_abstract
11953,31895228,Immune contexture of cholangiocarcinoma.,7,7_title_abstract_cell_cells
11954,31893524,Environmental influences on clonal hematopoiesis.,1,1_abstract_title_cells_cell
11955,31864762,Bimetallic nanodots for tri-modal CT/MRI/PA imaging and hypoxia-resistant thermoradiotherapy in the NIR-II biological windows.,0,0_cells_cell_abstract_title
11956,31863814,Therapeutic potential of targeting mixed lineage kinases in cancer and inflammation.,5,5_abstract_title_cells_cancer
11957,31852772,Diatom Molecular Research Comes of Age: Model Species for Studying Phytoplankton Biology and Diversity.,0,0_cells_cell_abstract_title
11958,31851777,The MathIOmica Toolbox: General Analysis Utilities for Dynamic Omics Datasets.,8,8_abstract_title_biology_molecular
11959,31846835,Potassium-dependent sodium-calcium exchanger (NCKX) isoforms and neuronal function.,0,0_cells_cell_abstract_title
11960,31837485,Rapid molecular species identification of indigenous bats from Germany for surveillance purposes.,5,5_abstract_title_cells_cancer
11961,31833096,Development of efficient RNAi in Nezara viridula for use in insecticide target discovery.,3,3_abstract_title_cells_cell
11962,31829086,The RNA binding protein Quaking represses host interferon response by downregulating MAVS.,3,3_abstract_title_cells_cell
11963,31826323,Wound healing grafts: Omega-3 fatty acid lipid content differentiates the lipid profiles of acellular Atlantic cod skin from traditional dermal substitutes.,2,2_cells_cancer_cell_expression
11964,31825482,The 'mitochondrial contact site and cristae organising system' (MICOS) in health and human disease.,6,6_proteins_cell_protein_abstract
11965,31819210,Taxanes convert regions of perturbed microtubule growth into rescue sites.,6,6_proteins_cell_protein_abstract
11966,31818639,Impacts of Caffeine during Pregnancy.,0,0_cells_cell_abstract_title
11967,31812936,Crystalline phase-dependent toxicity of aluminum oxide nanoparticles toward Daphnia magna and ecological risk assessment.,8,8_abstract_title_biology_molecular
11968,31811707,Profilin as a dual regulator of actin and microtubule dynamics.,6,6_proteins_cell_protein_abstract
11969,31809762,GW9508 ameliorates cognitive impairment via the cAMP-CREB and JNK pathways in APPswe/PS1dE9 mouse model of Alzheimer's disease.,3,3_abstract_title_cells_cell
11970,31794862,Shotgun lipidomics-based characterization of the landscape of lipid metabolism in colorectal cancer.,4,4_abstract_title_cells_cell
11971,31792365,Porins and small-molecule translocation across the outer membrane of Gram-negative bacteria.,8,8_abstract_title_biology_molecular
11972,31777296,Treatment of Age-Related Macular Degeneration with Pluripotent Stem Cell-Derived Retinal Pigment Epithelium.,2,2_cells_cancer_cell_expression
11973,31774613,Drosophila pericentrin-like protein promotes the formation of primordial germ cells.,0,0_cells_cell_abstract_title
11974,31756613,Metagenomic analysis of β-lactamase and carbapenemase genes in the wastewater resistome.,5,5_abstract_title_cells_cancer
11975,31734852,A new GH13 subfamily represented by the α-amylase from the halophilic archaeon Haloarcula hispanica.,1,1_abstract_title_cells_cell
11976,31722380,In vitro selection of aztreonam/avibactam resistance in dual-carbapenemase-producing Klebsiella pneumoniae.,10,10_resistance_isolates_strains_study
11977,31713823,The developmental neurotoxicity of legacy vs. contemporary polychlorinated biphenyls (PCBs): similarities and differences.,5,5_abstract_title_cells_cancer
11978,31679824,Contemporary Tools for Regulating Gene Expression in Bacteria.,8,8_abstract_title_biology_molecular
11979,31669137,A critical review on exploiting the pharmaceutical potential of plant endophytic fungi.,1,1_abstract_title_cells_cell
11980,31631528,From stars to stripes: RNA-directed shaping of plant viral protein templates-structural synthetic virology for smart biohybrid nanostructures.,8,8_abstract_title_biology_molecular
11981,31627933,Stepwise neoadjuvant chemoradiotherapy in the management of mid-low locally advanced rectal cancer.,1,1_abstract_title_cells_cell
11982,31504266,Comprehensive autophagy evaluation in cardiac disease models.,6,6_proteins_cell_protein_abstract
11983,31486296,Plant molecular farming of virus-like nanoparticles as vaccines and reagents.,8,8_abstract_title_biology_molecular
11984,31479520,Recommendations on terminology and experimental best practice associated with plant nitric oxide research.,7,7_title_abstract_cell_cells
11985,31469414,BRCA1 promoter methylation in peripheral blood is associated with the risk of triple-negative breast cancer.,1,1_abstract_title_cells_cell
11986,31432544,Repurposing approved drugs on the pathway to novel therapies.,0,0_cells_cell_abstract_title
11987,31397624,Outbreak of Efficiently Transferred Carbapenem-Resistant blaNDM-Producing Gram-Negative Bacilli Isolated from Neonatal Intensive Care Unit of an Indian Hospital.,10,10_resistance_isolates_strains_study
11988,31392727,Genomic analysis reveals association of specific SNPs with athletic performance and susceptibility to injuries in professional soccer players.,5,5_abstract_title_cells_cancer
11989,31349065,Transmission of multidrug-resistant Campylobacter jejuni to children from different sources in Pakistan.,7,7_title_abstract_cell_cells
11990,31317506,Long non-coding RNA LncKdm2b regulates cortical neuronal differentiation by cis-activating Kdm2b.,4,4_abstract_title_cells_cell
11991,31254610,ALS and FTD: Where RNA metabolism meets protein quality control.,1,1_abstract_title_cells_cell
11992,30716213,Knowledge Gains and Changing Attitudes from the Anatomy Education Research Institute (AERI 2017): A Mixed Methods Analysis.,11,11_patients_study_95_risk
11993,29753879,Protein aggregation in cell biology: An aggregomics perspective of health and disease.,5,5_abstract_title_cells_cancer
11994,29738879,Regulation of signaling by cooperative assembly formation in mammalian innate immunity signalosomes by molecular mimics.,8,8_abstract_title_biology_molecular
11995,32146451,"Extended-spectrum beta-lactamases producing extensively drug-resistant Salmonella Typhi in Punjab, Pakistan.",0,0_cells_cell_abstract_title
11996,32106286,Endometriotic cell culture contamination and authenticity: a source of bias in in vitro research?,2,2_cells_cancer_cell_expression
11997,32184804,SUNny Ways: The Role of the SUN-Domain Protein Mps3 Bridging Yeast Nuclear Organization and Lipid Homeostasis.,0,0_cells_cell_abstract_title
11998,32180758,"Reporting Guidelines, Review of Methodological Standards, and Challenges Toward Harmonization in Bone Marrow Adiposity Research. Report of the Methodologies Working Group of the International Bone Marrow Adiposity Society.",8,8_abstract_title_biology_molecular
11999,32121073,Exosomes are the Driving Force in Preparing the Soil for the Metastatic Seeds: Lessons from the Prostate Cancer.,2,2_cells_cancer_cell_expression
12000,31889184,Identification of altered biological processes in heterogeneous RNA-sequencing data by discretization of expression profiles.,0,0_cells_cell_abstract_title
12001,32106221,"Population structure and antimicrobial resistance patterns of Salmonella Typhi isolates in urban Dhaka, Bangladesh from 2004 to 2016.",10,10_resistance_isolates_strains_study
12002,31945148,A research-driven approach to the identification of novel natural killer cell deficiencies affecting cytotoxic function.,1,1_abstract_title_cells_cell
12003,32133394,Tracking extracellular vesicle phenotypic changes enables treatment monitoring in melanoma.,3,3_abstract_title_cells_cell
12004,32101167,Ordered patterning of the sensory system is susceptible to stochastic features of gene expression.,0,0_cells_cell_abstract_title
12005,32101166,"Highly regulated, diversifying NTP-dependent biological conflict systems with implications for the emergence of multicellularity.",8,8_abstract_title_biology_molecular
12006,32067019,A review of mathematical representations of biomolecular data.,8,8_abstract_title_biology_molecular
12007,31848048,RADICLELESS 1 (RL1)-mediated nad4 intron 1 splicing is crucial for embryo and endosperm development in rice (Oryza sativa L.).,4,4_abstract_title_cells_cell
12008,32158429,"Growth Hormone(s), Testosterone, Insulin-Like Growth Factors, and Cortisol: Roles and Integration for Cellular Development and Growth With Exercise.",6,6_proteins_cell_protein_abstract
12009,32158381,Transcription and Beyond: Delineating FOXG1 Function in Cortical Development and Disorders.,0,0_cells_cell_abstract_title
12010,32098819,A Multiplex Fluidic Chip for Rapid Phenotypic Antibiotic Susceptibility Testing.,3,3_abstract_title_cells_cell
